지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),시정(10m),지면온도(°C)
108,서울,2022-03-01 04:00,6.5,,1.9,250,77,7.4,2.7,1003.9,1014.4,,,,1753,2.3
108,서울,2022-03-01 05:00,6,,.3,0,84,7.8,3.4,1003.4,1013.9,,,,969,2.1
108,서울,2022-03-01 06:00,5.8,1.7,.3,0,87,8,3.7,1003,1013.5,,,,731,2
108,서울,2022-03-01 07:00,5.6,,.3,0,91,8.2,4.2,1002.9,1013.4,,,,567,2.1
108,서울,2022-03-01 08:00,5.7,,.8,200,90,8.2,4.1,1003.4,1013.9,0,.01,,740,2.7
108,서울,2022-03-01 09:00,6,.6,1.4,140,91,8.5,4.6,1003,1013.5,0,.15,,561,4.6
108,서울,2022-03-01 10:00,6.5,,1.6,180,90,8.7,4.9,1003.1,1013.6,0,.25,,516,5.8
108,서울,2022-03-01 11:00,6.7,,3,270,91,8.9,5.3,1003.2,1013.7,0,.24,,687,5.4
108,서울,2022-03-01 12:00,7.2,,3.2,270,88,8.9,5.3,1003.4,1013.9,0,.51,,917,8.2
108,서울,2022-03-01 13:00,6.9,,3.2,270,87,8.6,4.8,1003.1,1013.6,0,.35,,688,6.7
108,서울,2022-03-01 14:00,7.6,,3.1,270,82,8.5,4.7,1002.5,1012.9,0,.94,,715,10.2
108,서울,2022-03-01 15:00,8.7,,2.2,270,72,8.1,3.9,1002.2,1012.6,.2,1.2,,1039,16.5
108,서울,2022-03-01 16:00,9.1,,4.7,290,57,6.6,1,1002.5,1012.9,.5,1.19,,2000,13.1
108,서울,2022-03-01 17:00,8.6,,4.3,290,49,5.5,-1.5,1003.1,1013.5,1,1.19,,2000,6.3
108,서울,2022-03-01 18:00,7.3,,3.2,290,54,5.5,-1.4,1003.6,1014.1,.8,.43,,1987,2.7
108,서울,2022-03-01 19:00,6.1,,2.9,250,59,5.6,-1.3,1004.4,1014.9,0,.03,,2000,.7
108,서울,2022-03-01 20:00,4.8,,4.4,270,54,4.6,-3.7,1005.1,1015.7,,,,2000,-.6
108,서울,2022-03-01 21:00,3.6,,3.2,290,56,4.4,-4.3,1006.2,1016.8,,,,2000,-.2
108,서울,2022-03-01 22:00,1.9,,2.9,290,52,3.6,-6.9,1007.1,1017.8,,,,2000,-.9
108,서울,2022-03-01 23:00,.9,,2.4,270,51,3.3,-8.1,1007.4,1018.2,,,,2000,-1.3
108,서울,2022-03-02 00:00,.3,,1.1,250,52,3.2,-8.4,1007.5,1018.3,,,,2000,-1.6
108,서울,2022-03-02 01:00,-.4,,2.1,270,53,3.1,-8.8,1007.2,1018,,,,2000,-1.7
108,서울,2022-03-02 02:00,-.9,,2.1,270,56,3.2,-8.5,1007.7,1018.5,,,,2000,-1.9
108,서울,2022-03-02 03:00,-.8,,2.8,270,56,3.2,-8.4,1007.6,1018.4,,,,2000,-2
108,서울,2022-03-02 04:00,-1.3,,2.3,270,61,3.4,-7.8,1007.1,1018,,,,2000,-2.3
108,서울,2022-03-02 05:00,-1.8,,1.7,270,62,3.3,-8.1,1007.3,1018.2,,,,2000,-2.5
108,서울,2022-03-02 06:00,-2.2,,1.8,270,66,3.4,-7.7,1007.5,1018.4,,,,2000,-2.7
108,서울,2022-03-02 07:00,-1.9,,1.6,290,66,3.5,-7.4,1007.8,1018.7,,,,2000,-2.7
108,서울,2022-03-02 08:00,-1.3,,1,290,66,3.7,-6.8,1008.2,1019.1,.7,.2,,2000,-2.1
108,서울,2022-03-02 09:00,1.4,,1.7,160,53,3.6,-7.1,1008.7,1019.5,1,.85,,2000,1.6
108,서울,2022-03-02 10:00,3.3,,2.1,270,45,3.5,-7.5,1008.6,1019.3,1,1.65,,2000,7.7
108,서울,2022-03-02 11:00,4.8,,2.3,320,34,2.9,-9.7,1008,1018.6,1,2.27,,2000,13.2
108,서울,2022-03-02 12:00,7.2,,4,200,30,3,-9.2,1007.8,1018.3,1,2.7,,2000,15
108,서울,2022-03-02 13:00,8.5,,4,250,31,3.5,-7.6,1007.2,1017.6,1,2.81,,2000,18.1
108,서울,2022-03-02 14:00,8.1,,4.8,230,36,3.9,-6.1,1006.5,1016.9,1,2.81,,2000,18
108,서울,2022-03-02 15:00,8.4,,4.4,230,40,4.4,-4.4,1006,1016.4,1,2.5,,2000,17.3
108,서울,2022-03-02 16:00,8.1,,4.1,250,48,5.2,-2.2,1005.8,1016.2,1,1.96,,2000,14.3
108,서울,2022-03-02 17:00,7.3,,4.7,230,51,5.2,-2.1,1005.5,1016,1,1.27,,2000,5.8
108,서울,2022-03-02 18:00,6,,4.3,230,54,5,-2.6,1005.6,1016.1,1,.48,,2000,2.2
108,서울,2022-03-02 19:00,5,,3.7,250,62,5.4,-1.6,1006,1016.6,0,.03,,2000,.4
108,서울,2022-03-02 20:00,4.5,,3.1,230,66,5.6,-1.3,1006.1,1016.7,,,,2000,-.3
108,서울,2022-03-02 21:00,4.2,,2.6,230,70,5.8,-.7,1006.2,1016.8,,,,1938,-1
108,서울,2022-03-02 22:00,3.9,,2.9,200,72,5.8,-.6,1006.5,1017.1,,,,1902,-.2
108,서울,2022-03-02 23:00,3.5,,2.2,200,76,6,-.3,1006.8,1017.4,,,,1666,-.4
108,서울,2022-03-03 00:00,3.4,,1.5,200,78,6.1,0,1006.7,1017.3,,,,1410,-.2
108,서울,2022-03-03 01:00,3.9,,2.3,200,80,6.4,.7,1006.6,1017.2,,,,1289,-.1
108,서울,2022-03-03 02:00,3.5,,2,230,83,6.5,.8,1006.7,1017.3,,,,1092,-.3
108,서울,2022-03-03 03:00,2.9,,2.5,250,87,6.5,.9,1006.5,1017.2,,,,877,-.4
108,서울,2022-03-03 04:00,2.6,,2.7,250,90,6.6,1.1,1006.6,1017.3,,,,773,-.5
108,서울,2022-03-03 05:00,1.8,,1.3,250,88,6.1,0,1006.6,1017.3,,,,699,-.9
108,서울,2022-03-03 06:00,1.4,,1.2,250,91,6.1,0,1006.9,1017.6,,,,648,-1.1
108,서울,2022-03-03 07:00,1.2,,.8,270,92,6.1,0,1007.2,1018,,,,739,-1.2
108,서울,2022-03-03 08:00,1.1,,2,270,92,6.1,0,1007.8,1018.6,.6,.18,,764,-.6
108,서울,2022-03-03 09:00,3.1,,2.5,270,71,5.4,-1.6,1008.5,1019.2,1,.81,,1848,2.2
108,서울,2022-03-03 10:00,5.1,,2.5,270,49,4.3,-4.7,1008.7,1019.3,1,1.64,,2000,7.4
108,서울,2022-03-03 11:00,7.2,,1.9,290,36,3.6,-6.9,1008.6,1019.1,1,2.25,,2000,15.6
108,서울,2022-03-03 12:00,9.1,,2.9,180,33,3.8,-6.3,1008.2,1018.6,1,2.68,,2000,18.8
108,서울,2022-03-03 13:00,10.5,,2.2,230,29,3.7,-6.8,1007.8,1018.2,1,2.85,,2000,22
108,서울,2022-03-03 14:00,12,,2.3,270,29,4.1,-5.5,1007,1017.3,1,2.73,,2000,22.6
108,서울,2022-03-03 15:00,11.9,,4,270,25,3.5,-7.5,1006.6,1016.9,1,2.35,,2000,20.4
108,서울,2022-03-03 16:00,11,,4.1,270,26,3.4,-7.8,1006.8,1017.2,1,1.92,,2000,16.7
108,서울,2022-03-03 17:00,10.6,,3.4,270,26,3.3,-8.1,1006.6,1017,1,1.24,,2000,8.4
108,서울,2022-03-03 18:00,9.1,,2.9,270,27,3.1,-8.9,1006.4,1016.8,1,.48,,2000,4.1
108,서울,2022-03-03 19:00,7.5,,2.4,270,30,3.1,-8.9,1007,1017.5,0,.03,,2000,1.4
108,서울,2022-03-03 20:00,6.4,,1.4,270,35,3.4,-7.9,1007.2,1017.7,,,,2000,-.1
108,서울,2022-03-03 21:00,5.4,,1,270,41,3.7,-6.8,1006.9,1017.5,,,,2000,-.3
108,서울,2022-03-03 22:00,4.6,,1.1,230,45,3.8,-6.3,1007,1017.6,,,,2000,-.7
108,서울,2022-03-03 23:00,4,,.6,200,47,3.8,-6.3,1007.1,1017.7,,,,2000,-.8
108,서울,2022-03-04 00:00,3.7,,.4,0,48,3.8,-6.3,1006.9,1017.5,,,,2000,-.9
108,서울,2022-03-04 01:00,3.2,,.5,270,52,4,-5.7,1006.8,1017.5,,,,2000,-1.1
108,서울,2022-03-04 02:00,2.8,,1.8,20,58,4.3,-4.6,1006.8,1017.5,,,,2000,-1.1
108,서울,2022-03-04 03:00,2.1,,2.1,20,59,4.2,-5,1006.5,1017.2,,,,1999,-1.2
108,서울,2022-03-04 04:00,1.7,,2.3,50,59,4.1,-5.4,1005.7,1016.4,,,,2000,-1.3
108,서울,2022-03-04 05:00,1.2,,2.2,50,61,4.1,-5.5,1005.5,1016.2,,,,2000,-1.3
108,서울,2022-03-04 06:00,1,,2.3,20,61,4,-5.6,1005.5,1016.2,,,,2000,-1.4
108,서울,2022-03-04 07:00,.6,,2.3,20,63,4,-5.6,1005.4,1016.2,,,,2000,-1.3
108,서울,2022-03-04 08:00,1.5,,2,50,61,4.2,-5.2,1005.1,1015.8,0,.14,,2000,-.3
108,서울,2022-03-04 09:00,3.9,,2.2,50,56,4.5,-4,1004.8,1015.4,.4,.54,,2000,1.5
108,서울,2022-03-04 10:00,6.2,,2.5,70,57,5.4,-1.7,1003.7,1014.2,.1,.78,,1434,3.5
108,서울,2022-03-04 11:00,8.9,,3.4,70,55,6.2,.3,1002.1,1012.5,.5,1.35,,1114,9.4
108,서울,2022-03-04 12:00,10.8,,1,90,53,6.8,1.5,1000.9,1011.2,.7,1.88,,1053,12.1
108,서울,2022-03-04 13:00,13.6,,3.7,200,49,7.6,3,999.2,1009.3,.8,2.05,,1519,18.4
108,서울,2022-03-04 14:00,14.3,,7.9,200,44,7.1,2.1,997.4,1007.5,1,2.31,,2000,16.7
108,서울,2022-03-04 15:00,12.8,,6.5,200,40,5.9,-.4,997,1007.2,.2,1.02,,2000,10
108,서울,2022-03-04 16:00,12.5,,5.4,200,38,5.5,-1.4,996,1006.2,0,.38,,2000,8.3
108,서울,2022-03-04 17:00,11.9,,5.5,200,50,6.9,1.7,995.9,1006.1,0,.13,,2000,7.4
108,서울,2022-03-04 18:00,11,,5.6,200,59,7.7,3.2,996.3,1006.5,0,.06,,2000,6.6
108,서울,2022-03-04 19:00,9.9,,6.4,200,72,8.7,5,996.6,1006.9,0,.01,,1470,6
108,서울,2022-03-04 20:00,9.2,,5.6,200,79,9.2,5.7,997.1,1007.4,,,,1037,6
108,서울,2022-03-04 21:00,8.1,,3.6,200,80,8.6,4.8,997.4,1007.8,,,,859,4.6
108,서울,2022-03-04 22:00,7.1,,4.6,200,80,8,3.8,997.9,1008.3,,,,741,3.3
108,서울,2022-03-04 23:00,6.1,,3,250,75,7,1.9,998.7,1009.2,,,,604,2
108,서울,2022-03-05 00:00,5.3,,3.2,230,76,6.8,1.4,999.2,1009.7,,,,548,1.3
108,서울,2022-03-05 01:00,4.6,,2.7,250,74,6.2,.3,999.8,1010.3,,,,622,.5
108,서울,2022-03-05 02:00,3.7,,3.1,270,61,4.9,-3.1,1000.7,1011.3,,,,1550,-.7
108,서울,2022-03-05 03:00,2.7,,4.1,250,55,4.1,-5.4,1001.1,1011.7,,,,2000,-.4
108,서울,2022-03-05 04:00,2.1,,4.6,290,54,3.8,-6.2,1001.1,1011.7,,,,2000,-.6
108,서울,2022-03-05 05:00,1.4,,3.1,270,57,3.8,-6.2,1001.7,1012.4,,,,2000,-.8
108,서울,2022-03-05 06:00,.6,,3.6,250,58,3.7,-6.7,1002.4,1013.1,,,,1806,-1
108,서울,2022-03-05 07:00,0,,4.1,270,46,2.8,-10.2,1003.1,1013.9,0,0,,1353,-1.2
108,서울,2022-03-05 08:00,0,,5,270,34,2.1,-14,1004.5,1015.3,.4,.19,,2000,-.9
108,서울,2022-03-05 09:00,1.2,,4.4,250,30,2,-14.5,1005.3,1016,1,.86,,2000,1.2
108,서울,2022-03-05 10:00,2.3,,4.9,270,25,1.8,-15.7,1005.4,1016.1,1,1.66,,2000,6.2
108,서울,2022-03-05 11:00,3.6,,5.4,270,25,2,-14.6,1005.4,1016,1,2.3,,2000,14.1
108,서울,2022-03-05 12:00,3.7,,5.8,320,25,2,-14.5,1005.4,1016,1,2.73,,2000,17.2
108,서울,2022-03-05 13:00,5.3,,5,270,24,2.1,-13.6,1004.9,1015.5,1,2.96,,2000,21
108,서울,2022-03-05 14:00,6,,6,250,25,2.3,-12.5,1004.1,1014.6,1,2.94,,2000,20.3
108,서울,2022-03-05 15:00,6.1,,6.8,270,24,2.3,-13,1004.2,1014.7,1,2.6,,2000,17.7
108,서울,2022-03-05 16:00,6.7,,4.4,250,25,2.5,-11.9,1004.2,1014.7,1,2.01,,2000,15.9
108,서울,2022-03-05 17:00,5.5,,5.5,290,24,2.2,-13.5,1004.7,1015.3,1,1.39,,2000,6
108,서울,2022-03-05 18:00,4.1,,4.4,320,32,2.6,-11.1,1005.7,1016.3,1,.58,,2000,1.7
108,서울,2022-03-05 19:00,2.6,,3,270,33,2.4,-12,1006.7,1017.4,.1,.04,,2000,-.6
108,서울,2022-03-05 20:00,1.5,,3.9,290,37,2.5,-11.6,1007.5,1018.2,,,,2000,-.6
108,서울,2022-03-05 21:00,.7,,3.3,270,40,2.6,-11.3,1008.1,1018.9,,,,2000,-1.1
108,서울,2022-03-05 22:00,0,,2.9,270,40,2.4,-12,1008.6,1019.4,,,,2000,-1.5
108,서울,2022-03-05 23:00,-.3,,3,270,41,2.5,-11.9,1009.1,1019.9,,,,2000,-1.7
108,서울,2022-03-06 00:00,-.6,,3.4,270,43,2.5,-11.6,1009,1019.8,,,,2000,-1.8
108,서울,2022-03-06 01:00,-.8,,2.7,250,45,2.6,-11.2,1009.1,1020,,,,2000,-1.9
108,서울,2022-03-06 02:00,-1.2,,2.4,270,49,2.8,-10.5,1009.4,1020.3,,,,2000,-2.1
108,서울,2022-03-06 03:00,-1.4,,2.4,270,48,2.6,-11,1009.6,1020.5,,,,2000,-2.3
108,서울,2022-03-06 04:00,-1.5,,1.6,320,47,2.6,-11.3,1009.6,1020.5,,,,2000,-2.6
108,서울,2022-03-06 05:00,-2.1,,1.4,270,47,2.5,-11.9,1010.2,1021.1,,,,2000,-2.8
108,서울,2022-03-06 06:00,-2.5,,1,270,47,2.4,-12.2,1011,1021.9,,,,2000,-3.2
108,서울,2022-03-06 07:00,-2.9,,1.7,270,46,2.3,-12.9,1011.4,1022.4,0,0,,2000,-3.1
108,서울,2022-03-06 08:00,-1.9,,2.5,270,43,2.3,-12.8,1012,1022.9,.7,.24,,2000,-2.1
108,서울,2022-03-06 09:00,.1,,3.2,270,37,2.3,-12.9,1012.7,1023.6,1,.91,,2000,2.7
108,서울,2022-03-06 10:00,1.6,,3.2,320,31,2.1,-13.7,1012.8,1023.6,1,1.76,,2000,7.4
108,서울,2022-03-06 11:00,2.4,,2.7,290,26,1.9,-15.2,1012.6,1023.4,1,2.41,,2000,12
108,서울,2022-03-06 12:00,3.6,,3.2,270,25,2,-14.6,1012.5,1023.2,1,2.85,,2000,18.3
108,서울,2022-03-06 13:00,4.3,,3.2,290,23,1.9,-15,1011.5,1022.2,1,3.03,,2000,21
108,서울,2022-03-06 14:00,5.8,,3.4,270,22,2,-14.3,1010.8,1021.4,1,2.99,,2000,21.4
108,서울,2022-03-06 15:00,5.6,,4.7,320,21,1.9,-15,1009.7,1020.3,1,2.68,,2000,20.1
108,서울,2022-03-06 16:00,6.7,,3.1,270,20,2,-14.7,1009.4,1019.9,1,2.14,,2000,17.1
108,서울,2022-03-06 17:00,6.1,,3.9,270,21,2,-14.6,1009.1,1019.7,1,1.41,,2000,6.7
108,서울,2022-03-06 18:00,4.4,,4.2,250,35,2.9,-9.7,1009.8,1020.4,1,.54,,2000,2.1
108,서울,2022-03-06 19:00,2.6,,3.9,250,41,3,-9.3,1010.6,1021.3,.1,.04,,2000,-.3
108,서울,2022-03-06 20:00,2.1,,3,250,48,3.4,-7.7,1011.5,1022.3,,,,2000,-1.2
108,서울,2022-03-06 21:00,1.6,,3.3,270,52,3.6,-7.2,1011.4,1022.2,,,,2000,-.7
108,서울,2022-03-06 22:00,1,,1,270,56,3.7,-6.8,1011.5,1022.3,,,,2000,-1.1
108,서울,2022-03-06 23:00,.1,,1.8,250,54,3.3,-8.1,1011.5,1022.4,,,,2000,-1.6
108,서울,2022-03-07 00:00,-.4,,1.8,270,51,3,-9.3,1011.4,1022.3,,,,2000,-1.9
108,서울,2022-03-07 01:00,-.9,,1.4,290,56,3.2,-8.5,1011.4,1022.3,,,,2000,-1.9
108,서울,2022-03-07 02:00,-1.4,,1.3,250,54,3,-9.5,1011.3,1022.2,,,,2000,-2
108,서울,2022-03-07 03:00,-1.9,,1,270,58,3.1,-9,1010.9,1021.8,,,,2000,-2.3
108,서울,2022-03-07 04:00,-2,,1.8,20,58,3.1,-9.1,1010.7,1021.6,,,,2000,-2.3
108,서울,2022-03-07 05:00,-2.3,,1.6,50,56,2.9,-9.9,1010.5,1021.4,,,,2000,-2.4
108,서울,2022-03-07 06:00,-2.5,,2.1,20,56,2.9,-10,1010.9,1021.8,,,,2000,-2.6
108,서울,2022-03-07 07:00,-2.6,,2.5,20,58,2.9,-9.7,1011.2,1022.2,0,0,,2000,-2.4
108,서울,2022-03-07 08:00,-2.2,,2.2,50,59,3.1,-9.1,1011.4,1022.3,.2,.19,,2000,-1
108,서울,2022-03-07 09:00,.4,,2.1,50,58,3.6,-6.9,1011.6,1022.4,1,.68,,2000,2
108,서울,2022-03-07 10:00,3,,.7,90,51,3.9,-6.1,1011.6,1022.3,1,1.48,,2000,6.7
108,서울,2022-03-07 11:00,5,,2.1,180,41,3.6,-7.1,1011.1,1021.7,1,2.1,,2000,10.9
108,서울,2022-03-07 12:00,6.7,,2.1,200,34,3.3,-8,1010.7,1021.3,1,2.43,,2000,17
108,서울,2022-03-07 13:00,7.8,,2.7,200,27,2.9,-10,1009.9,1020.4,1,2.49,,2000,18.4
108,서울,2022-03-07 14:00,8.1,,2.3,270,26,2.8,-10.2,1009.1,1019.6,.9,2.08,,2000,16
108,서울,2022-03-07 15:00,8.4,,2.9,250,29,3.2,-8.6,1008.4,1018.9,.7,1.8,,2000,16.8
108,서울,2022-03-07 16:00,7.3,,2.9,290,31,3.2,-8.7,1008.4,1018.9,.1,.75,,2000,8.8
108,서울,2022-03-07 17:00,6.8,,2.9,270,34,3.3,-8,1008.4,1018.9,0,.57,,2000,7.8
108,서울,2022-03-07 18:00,6.1,,2.7,250,38,3.6,-7.1,1008.6,1019.2,.1,.39,,2000,4
108,서울,2022-03-07 19:00,4.8,,2.8,290,45,3.9,-6.1,1009.2,1019.8,0,.03,,2000,1.5
108,서울,2022-03-07 20:00,3.7,,2.3,270,43,3.4,-7.7,1009.4,1020.1,,,,2000,-.1
108,서울,2022-03-07 21:00,2.9,,1.7,270,46,3.5,-7.6,1009.4,1020.1,,,,2000,-.8
108,서울,2022-03-07 22:00,2.5,,1.6,270,44,3.2,-8.5,1009.4,1020.1,,,,2000,-.1
108,서울,2022-03-07 23:00,2.4,,1.2,270,45,3.3,-8.3,1009.2,1019.9,,,,2000,-.3
108,서울,2022-03-08 00:00,2.1,,.3,0,47,3.3,-8,1009.1,1019.8,,,,2000,-.5
108,서울,2022-03-08 01:00,2.1,,1.6,290,45,3.2,-8.6,1009.3,1020,,,,2000,-.6
108,서울,2022-03-08 02:00,1.6,,1.1,250,47,3.2,-8.5,1009.2,1020,,,,2000,-1.1
108,서울,2022-03-08 03:00,1.2,,.6,270,48,3.2,-8.6,1009.1,1019.9,,,,2000,-.9
108,서울,2022-03-08 04:00,1.7,,.6,360,49,3.4,-7.8,1008.8,1019.5,,,,2000,-.7
108,서울,2022-03-08 05:00,2.1,,0,0,47,3.3,-8,1008.7,1019.4,,,,2000,-.3
108,서울,2022-03-08 06:00,2.2,,2.2,20,50,3.6,-7.1,1008.9,1019.6,,,,2000,-.2
108,서울,2022-03-08 07:00,2.4,,1.8,50,51,3.7,-6.7,1008.8,1019.5,0,0,,2000,-.1
108,서울,2022-03-08 08:00,2.9,,2.5,20,51,3.8,-6.2,1009.1,1019.8,0,.07,,2000,.1
108,서울,2022-03-08 09:00,4,,2.4,50,48,3.9,-6,1009.3,1019.9,0,.36,,2000,3.6
108,서울,2022-03-08 10:00,6.3,,1,140,46,4.4,-4.4,1009.3,1019.9,.4,1.18,,2000,13.2
108,서울,2022-03-08 11:00,8,,1.5,230,50,5.4,-1.8,1009.2,1019.7,.9,1.95,,2000,17.8
108,서울,2022-03-08 12:00,10.1,,1.4,160,49,6.1,-.1,1009.1,1019.5,1,2.59,,2000,23.9
108,서울,2022-03-08 13:00,10.8,,2.9,200,46,6,-.3,1008.3,1018.7,.9,2.54,,2000,23
108,서울,2022-03-08 14:00,11.3,,2.5,290,46,6.1,0,1007.4,1017.7,1,2.18,,1968,22
108,서울,2022-03-08 15:00,12.2,,2.1,230,45,6.3,.5,1007,1017.3,.9,2.08,,2000,22.4
108,서울,2022-03-08 16:00,11.2,,3.8,270,49,6.5,.8,1007.5,1017.9,1,1.74,,2000,19.1
108,서울,2022-03-08 17:00,10.7,,2.9,270,50,6.4,.6,1007.6,1018,1,1.23,,2000,11.4
108,서울,2022-03-08 18:00,9.2,,2.1,250,58,6.7,1.3,1007.6,1018,1,.47,,2000,6.7
108,서울,2022-03-08 19:00,7.5,,2.3,250,64,6.6,1.1,1007.8,1018.3,.1,.05,,1926,3.9
108,서울,2022-03-08 20:00,6.5,,2.9,290,70,6.8,1.4,1008.3,1018.8,,,,1636,2.8
108,서울,2022-03-08 21:00,5.7,,2.4,270,73,6.7,1.2,1008.8,1019.4,,,,1407,2.1
108,서울,2022-03-08 22:00,4.9,,1.5,250,74,6.4,.6,1009,1019.6,,,,1353,1.2
108,서울,2022-03-08 23:00,4.2,,1.4,270,77,6.3,.5,1008.9,1019.5,,,,1331,.1
108,서울,2022-03-09 00:00,3.5,,1.9,270,78,6.1,0,1009,1019.7,,,,1233,-.2
108,서울,2022-03-09 01:00,3.6,,2,270,79,6.2,.2,1009.6,1020.3,,,,1153,-.2
108,서울,2022-03-09 02:00,3.4,,2.4,270,82,6.4,.6,1009.9,1020.6,,,,1219,-.3
108,서울,2022-03-09 03:00,3,,1.8,290,84,6.3,.5,1009.8,1020.5,,,,1118,-.5
108,서울,2022-03-09 04:00,2.6,,1.6,20,84,6.2,.1,1009.8,1020.5,,,,951,-.6
108,서울,2022-03-09 05:00,2.2,,1.1,270,85,6.1,0,1010.2,1020.9,,,,869,-.9
108,서울,2022-03-09 06:00,1.9,,2.4,270,91,6.3,.5,1011,1021.8,,,,737,-.8
108,서울,2022-03-09 07:00,1.8,,1.7,250,93,6.4,.7,1011.3,1022.1,0,0,,630,-.8
108,서울,2022-03-09 08:00,2,,2.8,250,95,6.7,1.2,1012.4,1023.2,0,.2,,422,0
108,서울,2022-03-09 09:00,3.3,,.9,70,94,7.3,2.4,1012.1,1022.8,.2,.64,,634,7
108,서울,2022-03-09 10:00,5.6,,1,270,82,7.4,2.7,1012.8,1023.4,.6,1.34,,918,14.6
108,서울,2022-03-09 11:00,8.9,,2.3,180,68,7.7,3.3,1013,1023.5,1,2.16,,1222,20.7
108,서울,2022-03-09 12:00,10.4,,1.5,180,58,7.3,2.4,1012.5,1022.9,1,2.61,,1364,25.2
108,서울,2022-03-09 13:00,12.3,,1.5,230,47,6.7,1.2,1012,1022.3,1,2.81,,1728,28.1
108,서울,2022-03-09 14:00,13.5,,2.6,270,37,5.7,-.9,1011.3,1021.6,1,2.81,,2000,28.2
108,서울,2022-03-09 15:00,14.2,,2.2,290,36,5.8,-.6,1010.7,1020.9,1,2.47,,1996,26.6
108,서울,2022-03-09 16:00,14,,3.3,250,39,6.2,.2,1010.6,1020.8,1,1.93,,1699,21.8
108,서울,2022-03-09 17:00,13.8,,2.4,270,44,6.9,1.7,1010.8,1021.1,1,1.32,,1570,13.7
108,서울,2022-03-09 18:00,11.4,,3.4,250,54,7.3,2.4,1010.9,1021.3,.9,.49,,1256,8.8
108,서울,2022-03-09 19:00,9.7,,1.6,270,59,7.1,2,1010.7,1021.1,0,.07,,1116,5.6
108,서울,2022-03-09 20:00,8.6,,2.6,290,61,6.8,1.4,1011.3,1021.8,,,,1067,4.1
108,서울,2022-03-09 21:00,7.4,,1.5,270,68,7,1.8,1011.5,1022,,,,904,2.8
108,서울,2022-03-09 22:00,6.5,,1.5,250,70,6.8,1.4,1012,1022.6,,,,1090,2
108,서울,2022-03-09 23:00,5.8,,1.2,360,71,6.5,.9,1011.5,1022.1,,,,1075,1.3
108,서울,2022-03-10 00:00,5.5,,1,20,72,6.5,.8,1011.2,1021.8,,,,1114,.8
108,서울,2022-03-10 01:00,4.9,,1.2,270,74,6.4,.6,1011,1021.7,,,,1024,1.2
108,서울,2022-03-10 02:00,4.8,,.2,0,75,6.4,.7,1011.3,1022,,,,947,.5
108,서울,2022-03-10 03:00,4.5,,1.9,360,77,6.5,.8,1010.9,1021.5,,,,790,.8
108,서울,2022-03-10 04:00,4.7,,1.2,50,77,6.6,1,1010.6,1021.2,,,,940,2.4
108,서울,2022-03-10 05:00,4.8,,2.1,20,74,6.3,.5,1010.8,1021.5,,,,930,2
108,서울,2022-03-10 06:00,4.6,,1.7,70,73,6.2,.1,1010.9,1021.5,,,,865,1.1
108,서울,2022-03-10 07:00,4.2,,2.1,50,75,6.2,.1,1011.1,1021.8,0,0,,803,.8
108,서울,2022-03-10 08:00,4.5,,.9,70,75,6.3,.4,1011.7,1022.3,0,.14,,791,2.5
108,서울,2022-03-10 09:00,6.7,,2.1,50,69,6.8,1.4,1011.7,1022.3,.8,.64,,760,9.9
108,서울,2022-03-10 10:00,9.7,,2.2,70,50,6,-.2,1011.4,1021.8,1,1.65,,993,17.4
108,서울,2022-03-10 11:00,12,,1.6,200,36,5,-2.6,1011.2,1021.5,1,2.09,,1820,21.9
108,서울,2022-03-10 12:00,14.1,,2.8,250,29,4.6,-3.7,1011,1021.2,1,2.36,,1826,25.3
108,서울,2022-03-10 13:00,15.2,,3.4,230,21,3.6,-7,1010.5,1020.7,1,2.41,,2000,24.4
108,서울,2022-03-10 14:00,15.3,,3.7,230,19,3.3,-8.2,1009.7,1019.9,1,2.16,,2000,23.2
108,서울,2022-03-10 15:00,15.2,,3.9,250,21,3.6,-7,1009.3,1019.5,1,2.02,,2000,23.4
108,서울,2022-03-10 16:00,15.3,,4.7,230,21,3.6,-6.9,1008.8,1019,1,1.75,,2000,19.8
108,서울,2022-03-10 17:00,14.1,,3.2,200,25,4,-5.6,1008.6,1018.8,.9,1.03,,2000,12.6
108,서울,2022-03-10 18:00,12.8,,2.9,270,30,4.4,-4.3,1008.8,1019.1,.6,.45,,2000,8.6
108,서울,2022-03-10 19:00,11.1,,2.4,270,43,5.7,-1,1009.1,1019.5,0,.05,,2000,6
108,서울,2022-03-10 20:00,10,,1,290,48,5.9,-.5,1009.2,1019.6,,,,2000,4.1
108,서울,2022-03-10 21:00,8.9,,1.2,270,52,5.9,-.4,1009.3,1019.7,,,,2000,3.1
108,서울,2022-03-10 22:00,8.2,,1.3,270,57,6.2,.1,1009.1,1019.6,,,,2000,2.3
108,서울,2022-03-10 23:00,7.6,,1.8,290,59,6.1,0,1009,1019.5,,,,1998,1.8
108,서울,2022-03-11 00:00,7.2,,.5,320,60,6.1,0,1009.1,1019.6,,,,1989,1.4
108,서울,2022-03-11 01:00,6.6,,1,50,58,5.7,-1,1008.7,1019.2,,,,1993,1.2
108,서울,2022-03-11 02:00,6.1,,1.7,20,59,5.6,-1.3,1008.7,1019.3,,,,1991,1
